"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"88 years"	"88"	15	Not Applicable	Not Applicable
	"1999"	"1999"	"89 years"	"89"	20	Not Applicable	Not Applicable
	"1999"	"1999"	"90 years"	"90"	11	Not Applicable	Not Applicable
	"1999"	"1999"	"91 years"	"91"	9	Not Applicable	Not Applicable
	"1999"	"1999"	"92 years"	"92"	11	Not Applicable	Not Applicable
	"1999"	"1999"	"93 years"	"93"	5	Not Applicable	Not Applicable
	"1999"	"1999"	"94 years"	"94"	5	Not Applicable	Not Applicable
	"1999"	"1999"	"95 years"	"95"	1	Not Applicable	Not Applicable
	"1999"	"1999"	"96 years"	"96"	7	Not Applicable	Not Applicable
	"1999"	"1999"	"97 years"	"97"	2	Not Applicable	Not Applicable
	"1999"	"1999"	"98 years"	"98"	3	Not Applicable	Not Applicable
	"1999"	"1999"	"100+ years"	"100"	1	Not Applicable	Not Applicable
	"1999"	"1999"	"Not Stated"	"NS"	16	Not Applicable	Not Applicable
"Total"	"1999"	"1999"			16849	279040168	6.0
	"2000"	"2000"	"< 1 year"	"0"	18	3805648	Unreliable
	"2000"	"2000"	"1 year"	"1"	5	3820582	Unreliable
	"2000"	"2000"	"2 years"	"2"	3	3790446	Unreliable
	"2000"	"2000"	"3 years"	"3"	2	3832799	Unreliable
	"2000"	"2000"	"4 years"	"4"	4	3926323	Unreliable
	"2000"	"2000"	"5 years"	"5"	2	3965103	Unreliable
	"2000"	"2000"	"6 years"	"6"	2	4019705	Unreliable
	"2000"	"2000"	"7 years"	"7"	2	4118147	Unreliable
	"2000"	"2000"	"8 years"	"8"	3	4179230	Unreliable
	"2000"	"2000"	"10 years"	"10"	2	4274056	Unreliable
	"2000"	"2000"	"11 years"	"11"	3	4115093	Unreliable
	"2000"	"2000"	"12 years"	"12"	4	4075842	Unreliable
	"2000"	"2000"	"13 years"	"13"	12	4010850	Unreliable
	"2000"	"2000"	"14 years"	"14"	12	4052231	Unreliable
	"2000"	"2000"	"15 years"	"15"	20	4019404	0.5
	"2000"	"2000"	"16 years"	"16"	48	3975021	1.2
	"2000"	"2000"	"17 years"	"17"	65	4046012	1.6
	"2000"	"2000"	"18 years"	"18"	123	4051598	3.0
	"2000"	"2000"	"19 years"	"19"	166	4127855	4.0
	"2000"	"2000"	"20 years"	"20"	187	4049448	4.6
	"2000"	"2000"	"21 years"	"21"	203	3841082	5.3
	"2000"	"2000"	"22 years"	"22"	193	3758648	5.1
	"2000"	"2000"	"23 years"	"23"	210	3673582	5.7
	"2000"	"2000"	"24 years"	"24"	220	3641241	6.0
	"2000"	"2000"	"25 years"	"25"	224	3744539	6.0
	"2000"	"2000"	"26 years"	"26"	235	3619660	6.5
	"2000"	"2000"	"27 years"	"27"	261	3789800	6.9
	"2000"	"2000"	"28 years"	"28"	263	3984812	6.6
	"2000"	"2000"	"29 years"	"29"	331	4242525	7.8
	"2000"	"2000"	"30 years"	"30"	311	4289970	7.2
	"2000"	"2000"	"31 years"	"31"	350	4011575	8.7
	"2000"	"2000"	"32 years"	"32"	384	3994121	9.6
	"2000"	"2000"	"33 years"	"33"	391	4026573	9.7
	"2000"	"2000"	"34 years"	"34"	419	4188149	10.0
	"2000"	"2000"	"35 years"	"35"	508	4516118	11.2
	"2000"	"2000"	"36 years"	"36"	555	4511168	12.3
	"2000"	"2000"	"37 years"	"37"	588	4517060	13.0
	"2000"	"2000"	"38 years"	"38"	633	4553814	13.9
	"2000"	"2000"	"39 years"	"39"	661	4608504	14.3
	"2000"	"2000"	"40 years"	"40"	725	4711434	15.4
	"2000"	"2000"	"41 years"	"41"	729	4466676	16.3
	"2000"	"2000"	"42 years"	"42"	685	4547220	15.1
	"2000"	"2000"	"43 years"	"43"	682	4407870	15.5
	"2000"	"2000"	"44 years"	"44"	703	4308663	16.3
	"2000"	"2000"	"45 years"	"45"	677	4341460	15.6
	"2000"	"2000"	"46 years"	"46"	558	4087563	13.7
	"2000"	"2000"	"47 years"	"47"	578	4019692	14.4
	"2000"	"2000"	"48 years"	"48"	512	3885145	13.2
	"2000"	"2000"	"49 years"	"49"	476	3758544	12.7
	"2000"	"2000"	"50 years"	"50"	393	3808515	10.3
	"2000"	"2000"	"51 years"	"51"	351	3616997	9.7
	"2000"	"2000"	"52 years"	"52"	326	3707436	8.8
	"2000"	"2000"	"53 years"	"53"	309	3635040	8.5
	"2000"	"2000"	"54 years"	"54"	209	2817560	7.4
	"2000"	"2000"	"55 years"	"55"	184	2850600	6.5
	"2000"	"2000"	"56 years"	"56"	150	2837452	5.3
	"2000"	"2000"	"57 years"	"57"	148	2864020	5.2
	"2000"	"2000"	"58 years"	"58"	102	2540152	4.0
	"2000"	"2000"	"59 years"	"59"	102	2377013	4.3
	"2000"	"2000"	"60 years"	"60"	92	2319944	4.0
	"2000"	"2000"	"61 years"	"61"	75	2221227	3.4
	"2000"	"2000"	"62 years"	"62"	54	2171072	2.5
	"2000"	"2000"	"63 years"	"63"	66	2053151	3.2
	"2000"	"2000"	"64 years"	"64"	40	2040053	2.0
	"2000"	"2000"	"65 years"	"65"	40	2029911	2.0
	"2000"	"2000"	"66 years"	"66"	38	1860320	2.0
	"2000"	"2000"	"67 years"	"67"	36	1896451	1.9
	"2000"	"2000"	"68 years"	"68"	46	1864515	2.5
	"2000"	"2000"	"69 years"	"69"	33	1882348	1.8
	"2000"	"2000"	"70 years"	"70"	33	1875175	1.8
	"2000"	"2000"	"71 years"	"71"	45	1788269	2.5
	"2000"	"2000"	"72 years"	"72"	41	1791696	2.3
	"2000"	"2000"	"73 years"	"73"	29	1725168	1.7
	"2000"	"2000"	"74 years"	"74"	30	1677133	1.8
	"2000"	"2000"	"75 years"	"75"	36	1651641	2.2
	"2000"	"2000"	"76 years"	"76"	23	1556567	1.5
	"2000"	"2000"	"77 years"	"77"	42	1460781	2.9
	"2000"	"2000"	"78 years"	"78"	24	1431916	1.7
	"2000"	"2000"	"79 years"	"79"	35	1314908	2.7
	"2000"	"2000"	"80 years"	"80"	39	1207365	3.2
	"2000"	"2000"	"81 years"	"81"	17	1072048	Unreliable
	"2000"	"2000"	"82 years"	"82"	25	981562	2.5
	"2000"	"2000"	"83 years"	"83"	22	883063	2.5
	"2000"	"2000"	"84 years"	"84"	32	801329	4.0
	"2000"	"2000"	"85 years"	"85"	21	Not Applicable	Not Applicable
	"2000"	"2000"	"86 years"	"86"	22	Not Applicable	Not Applicable
	"2000"	"2000"	"87 years"	"87"	30	Not Applicable	Not Applicable
	"2000"	"2000"	"88 years"	"88"	23	Not Applicable	Not Applicable
	"2000"	"2000"	"89 years"	"89"	18	Not Applicable	Not Applicable
	"2000"	"2000"	"90 years"	"90"	17	Not Applicable	Not Applicable
	"2000"	"2000"	"91 years"	"91"	17	Not Applicable	Not Applicable
	"2000"	"2000"	"92 years"	"92"	10	Not Applicable	Not Applicable
	"2000"	"2000"	"93 years"	"93"	11	Not Applicable	Not Applicable
	"2000"	"2000"	"94 years"	"94"	5	Not Applicable	Not Applicable
	"2000"	"2000"	"95 years"	"95"	5	Not Applicable	Not Applicable
	"2000"	"2000"	"96 years"	"96"	1	Not Applicable	Not Applicable
	"2000"	"2000"	"97 years"	"97"	4	Not Applicable	Not Applicable
	"2000"	"2000"	"98 years"	"98"	1	Not Applicable	Not Applicable
	"2000"	"2000"	"99 years"	"99"	3	Not Applicable	Not Applicable
	"2000"	"2000"	"Not Stated"	"NS"	12	Not Applicable	Not Applicable
"Total"	"2000"	"2000"			17415	281421906	6.2
	"2001"	"2001"	"< 1 year"	"0"	22	4012658	0.5
	"2001"	"2001"	"1 year"	"1"	11	3855407	Unreliable
	"2001"	"2001"	"2 years"	"2"	9	3800096	Unreliable
	"2001"	"2001"	"3 years"	"3"	5	3802710	Unreliable
	"2001"	"2001"	"4 years"	"4"	1	3827346	Unreliable
	"2001"	"2001"	"5 years"	"5"	2	3910033	Unreliable
	"2001"	"2001"	"6 years"	"6"	1	3972508	Unreliable
	"2001"	"2001"	"8 years"	"8"	1	4099542	Unreliable
	"2001"	"2001"	"9 years"	"9"	3	4179230	Unreliable
